ODB Name,Step,Frame,Part Instance Name, Element Label,    Node Label,X,Y,Z,Section Name,Material Name,Section Point,         S-S22
D:/Jiaxi_Xie/3D/stress_concentration/2D_Abaqus_Result.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             7,            24,      250.E-03,            0.,            0.,"ASSEMBLY_PART-1-1_SET-3","MATERIAL-1","",   891.155E-03
D:/Jiaxi_Xie/3D/stress_concentration/2D_Abaqus_Result.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             7,            81,   246.822E-03,   245.949E-03,            0.,"ASSEMBLY_PART-1-1_SET-3","MATERIAL-1","",   892.554E-03
D:/Jiaxi_Xie/3D/stress_concentration/2D_Abaqus_Result.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             7,            93,   495.541E-03,   242.622E-03,            0.,"ASSEMBLY_PART-1-1_SET-3","MATERIAL-1","",   929.489E-03
D:/Jiaxi_Xie/3D/stress_concentration/2D_Abaqus_Result.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             7,           505,   248.411E-03,   122.975E-03,            0.,"ASSEMBLY_PART-1-1_SET-3","MATERIAL-1","",   891.849E-03
D:/Jiaxi_Xie/3D/stress_concentration/2D_Abaqus_Result.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             7,           506,      375.E-03,            0.,            0.,"ASSEMBLY_PART-1-1_SET-3","MATERIAL-1","",   909.900E-03
D:/Jiaxi_Xie/3D/stress_concentration/2D_Abaqus_Result.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             7,           507,   497.771E-03,   121.311E-03,            0.,"ASSEMBLY_PART-1-1_SET-3","MATERIAL-1","",   929.080E-03
D:/Jiaxi_Xie/3D/stress_concentration/2D_Abaqus_Result.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             7,           508,   371.182E-03,   244.286E-03,            0.,"ASSEMBLY_PART-1-1_SET-3","MATERIAL-1","",   911.007E-03
D:/Jiaxi_Xie/3D/stress_concentration/2D_Abaqus_Result.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             8,             1,            4.,            0.,            0.,"ASSEMBLY_PART-1-1_SET-3","MATERIAL-1","",       3.33839
D:/Jiaxi_Xie/3D/stress_concentration/2D_Abaqus_Result.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             8,             6,       4.03407,   258.819E-03,            0.,"ASSEMBLY_PART-1-1_SET-3","MATERIAL-1","",       2.85182
D:/Jiaxi_Xie/3D/stress_concentration/2D_Abaqus_Result.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             8,            10,          3.75,            0.,            0.,"ASSEMBLY_PART-1-1_SET-3","MATERIAL-1","",       2.08977
D:/Jiaxi_Xie/3D/stress_concentration/2D_Abaqus_Result.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             8,           127,       3.76298,   271.991E-03,            0.,"ASSEMBLY_PART-1-1_SET-3","MATERIAL-1","",       1.97660
D:/Jiaxi_Xie/3D/stress_concentration/2D_Abaqus_Result.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             8,           509,       4.00855,   130.526E-03,            0.,"ASSEMBLY_PART-1-1_SET-3","MATERIAL-1","",       3.10341
D:/Jiaxi_Xie/3D/stress_concentration/2D_Abaqus_Result.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             8,           510,       3.89853,   265.405E-03,            0.,"ASSEMBLY_PART-1-1_SET-3","MATERIAL-1","",       2.40474
D:/Jiaxi_Xie/3D/stress_concentration/2D_Abaqus_Result.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             8,           511,       3.75649,   135.995E-03,            0.,"ASSEMBLY_PART-1-1_SET-3","MATERIAL-1","",       2.03864
D:/Jiaxi_Xie/3D/stress_concentration/2D_Abaqus_Result.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             8,           512,         3.875,            0.,            0.,"ASSEMBLY_PART-1-1_SET-3","MATERIAL-1","",       2.69309
D:/Jiaxi_Xie/3D/stress_concentration/2D_Abaqus_Result.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             9,            10,          3.75,            0.,            0.,"ASSEMBLY_PART-1-1_SET-3","MATERIAL-1","",       2.08977
